true_label,pred_cluster,embedding_dim0,embedding_dim1
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
28,2,-0.044325054,0.10690845
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942024
33,1,-0.13550821,0.13942024
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
33,1,-0.13550821,0.13942023
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
15,7,-0.10744028,-0.09775743
15,7,-0.10744028,-0.09775743
15,7,-0.10273576,-0.09746414
15,7,-0.10273576,-0.09746414
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
